1
1995
28
Cleveland Indians	AL	144	5028	840	1461	279	23	207	803	542	766	132	53	0.291	0.361	0.479	0.839
Colorado Rockies	NL	144	4994	785	1406	259	43	200	749	484	943	125	59	0.282	0.35	0.471	0.82
Chicago White Sox	AL	145	5060	755	1417	252	37	146	712	576	767	110	39	0.28	0.354	0.431	0.785
Boston Red Sox	AL	144	4997	791	1399	286	31	175	754	560	923	99	44	0.28	0.357	0.455	0.812
Minnesota Twins	AL	144	5005	703	1398	270	34	120	662	471	916	105	57	0.279	0.346	0.419	0.765
California Angels	AL	145	5019	801	1390	252	25	186	761	564	889	58	39	0.277	0.352	0.448	0.8
New York Yankees	AL	145	4947	749	1365	280	34	122	709	625	851	50	30	0.276	0.357	0.42	0.778
Seattle Mariners	AL	145	4996	796	1377	276	20	182	767	549	871	110	41	0.276	0.35	0.448	0.798
Houston Astros	NL	144	5097	747	1403	260	22	109	694	566	992	176	60	0.275	0.353	0.399	0.752
San Diego Padres	NL	144	4950	668	1345	231	20	116	618	447	872	124	46	0.272	0.334	0.397	0.731
Cincinnati Reds	NL	144	4903	747	1326	277	35	161	694	519	946	190	68	0.27	0.342	0.44	0.782
New York Mets	NL	144	4958	657	1323	218	34	125	617	446	994	58	39	0.267	0.33	0.4	0.73
Milwaukee Brewers	AL	144	5000	740	1329	249	42	128	700	502	800	105	40	0.266	0.336	0.409	0.745
Texas Rangers	AL	144	4913	691	1304	247	24	138	651	526	877	90	47	0.265	0.338	0.41	0.747
Chicago Cubs	NL	144	4963	693	1315	267	39	158	648	440	953	105	37	0.265	0.327	0.43	0.757
Los Angeles Dodgers	NL	144	4942	634	1303	191	31	140	593	468	1023	127	45	0.264	0.329	0.4	0.729
Oakland Athletics	AL	144	4916	730	1296	228	18	169	694	565	911	112	46	0.264	0.341	0.42	0.762
Baltimore Orioles	AL	144	4837	704	1267	229	27	173	668	574	803	92	45	0.262	0.342	0.428	0.77
Philadelphia Phillies	NL	144	4950	615	1296	263	30	94	576	497	884	72	25	0.262	0.332	0.384	0.716
Florida Marlins	NL	143	4886	673	1278	214	29	144	636	517	916	131	53	0.262	0.335	0.406	0.741
Kansas City Royals	AL	144	4903	629	1275	240	35	119	578	475	849	120	53	0.26	0.328	0.396	0.724
Toronto Blue Jays	AL	144	5036	642	1309	275	27	140	613	492	906	75	16	0.26	0.328	0.409	0.737
Pittsburgh Pirates	NL	144	4937	629	1281	245	27	125	587	456	972	84	55	0.259	0.323	0.396	0.719
Montreal Expos	NL	144	4905	621	1268	265	24	118	572	400	901	120	49	0.259	0.32	0.394	0.714
San Francisco Giants	NL	144	4971	652	1256	229	33	152	610	472	1060	138	46	0.253	0.323	0.404	0.727
Atlanta Braves	NL	144	4814	645	1202	210	27	168	618	520	933	73	43	0.25	0.326	0.409	0.735
Detroit Tigers	AL	144	4865	654	1204	228	29	159	619	551	987	73	36	0.247	0.327	0.404	0.731
St. Louis Cardinals	NL	143	4779	563	1182	238	24	107	533	436	920	79	46	0.247	0.314	0.374	0.688
2
msort 1995 League incr
isort 1995 League decr
