4
2000
30
Colorado Rockies	NL	162	5660	968	1664	320	53	161	905	601	907	131	61	0.294	0.362	0.455	0.816
Cleveland Indians	AL	162	5683	950	1639	310	30	221	889	685	1057	113	34	0.288	0.367	0.47	0.837
Kansas City Royals	AL	162	5709	879	1644	281	27	150	831	511	840	121	35	0.288	0.348	0.425	0.773
Chicago White Sox	AL	162	5646	978	1615	325	33	216	926	591	960	119	42	0.286	0.356	0.47	0.826
Texas Rangers	AL	162	5648	848	1601	330	35	173	806	580	922	69	47	0.283	0.352	0.446	0.798
Anaheim Angels	AL	162	5628	864	1574	309	34	236	837	608	1024	93	52	0.28	0.352	0.472	0.825
San Francisco Giants	NL	162	5519	925	1535	304	44	226	889	709	1032	79	39	0.278	0.362	0.472	0.834
Houston Astros	NL	162	5570	938	1547	289	36	249	900	673	1129	114	52	0.278	0.361	0.477	0.837
New York Yankees	AL	161	5556	871	1541	294	25	205	833	631	1007	99	48	0.277	0.354	0.45	0.804
Detroit Tigers	AL	162	5644	823	1553	307	41	177	785	562	982	83	38	0.275	0.343	0.438	0.781
Toronto Blue Jays	AL	162	5677	861	1562	328	21	244	826	526	1026	89	34	0.275	0.341	0.469	0.81
Cincinnati Reds	NL	163	5635	825	1545	302	36	200	794	559	995	99	38	0.274	0.343	0.447	0.79
Baltimore Orioles	AL	162	5549	794	1508	310	22	184	750	558	900	126	65	0.272	0.341	0.435	0.776
Atlanta Braves	NL	162	5489	810	1490	274	26	179	758	595	1010	148	56	0.271	0.346	0.429	0.775
St. Louis Cardinals	NL	162	5478	887	1481	259	25	235	841	675	1253	87	51	0.27	0.356	0.455	0.812
Minnesota Twins	AL	162	5615	748	1516	325	49	116	711	556	1021	90	45	0.27	0.337	0.407	0.744
Oakland Athletics	AL	161	5560	947	1501	281	23	239	908	750	1159	40	15	0.27	0.36	0.458	0.817
Seattle Mariners	AL	162	5497	907	1481	300	26	198	869	775	1073	122	56	0.269	0.361	0.442	0.803
Boston Red Sox	AL	162	5630	792	1503	316	32	167	755	611	1019	43	30	0.267	0.341	0.423	0.764
Pittsburgh Pirates	NL	162	5643	793	1506	320	31	168	749	564	1032	86	40	0.267	0.339	0.424	0.762
Montreal Expos	NL	162	5535	738	1475	310	35	178	705	476	1048	58	48	0.266	0.326	0.432	0.758
Arizona Diamondbacks	NL	162	5527	792	1466	282	44	179	756	535	975	97	44	0.265	0.333	0.429	0.763
New York Mets	NL	162	5486	807	1445	282	20	198	761	675	1037	66	46	0.263	0.346	0.43	0.776
Florida Marlins	NL	161	5509	731	1441	274	29	160	691	540	1184	168	55	0.262	0.331	0.409	0.74
Los Angeles Dodgers	NL	162	5481	798	1408	265	28	211	756	668	1083	95	42	0.257	0.341	0.431	0.771
Tampa Bay Devil Rays	AL	161	5505	733	1414	253	22	162	692	558	1022	90	46	0.257	0.329	0.399	0.728
Chicago Cubs	NL	162	5577	764	1426	272	23	183	722	632	1120	93	37	0.256	0.335	0.411	0.746
San Diego Padres	NL	162	5560	752	1413	279	37	157	714	602	1177	131	53	0.254	0.33	0.402	0.732
Philadelphia Phillies	NL	162	5511	708	1386	304	40	144	668	611	1117	102	30	0.251	0.329	0.4	0.729
Milwaukee Brewers	NL	163	5563	740	1366	297	25	177	708	620	1245	72	44	0.246	0.325	0.403	0.729
1999
30
Texas Rangers	AL	162	5651	945	1653	304	29	230	897	611	937	111	54	0.293	0.361	0.479	0.84
Cleveland Indians	AL	162	5634	1009	1629	309	32	209	960	743	1099	147	50	0.289	0.374	0.467	0.84
Colorado Rockies	NL	162	5717	906	1644	305	39	223	863	508	863	70	43	0.288	0.348	0.472	0.819
Kansas City Royals	AL	161	5624	856	1584	294	52	151	800	535	932	127	39	0.282	0.348	0.433	0.781
New York Yankees	AL	162	5568	900	1568	302	36	193	855	718	978	104	57	0.282	0.366	0.453	0.819
Toronto Blue Jays	AL	162	5642	883	1580	337	14	212	856	578	1077	119	48	0.28	0.352	0.457	0.81
Baltimore Orioles	AL	162	5637	851	1572	299	21	203	804	615	890	107	46	0.279	0.353	0.447	0.8
New York Mets	NL	163	5572	853	1553	297	14	181	814	717	994	150	61	0.279	0.363	0.434	0.797
Boston Red Sox	AL	162	5579	836	1551	334	42	176	808	597	928	67	39	0.278	0.351	0.448	0.798
Chicago White Sox	AL	162	5643	777	1563	298	37	162	742	499	810	110	50	0.277	0.337	0.429	0.766
Arizona Diamondbacks	NL	162	5658	908	1566	289	46	216	865	588	1045	137	39	0.277	0.347	0.459	0.805
Philadelphia Phillies	NL	162	5598	841	1539	302	44	161	797	631	1081	125	35	0.275	0.351	0.431	0.782
Tampa Bay Devil Rays	AL	162	5586	772	1531	272	29	145	728	544	1042	73	49	0.274	0.343	0.411	0.754
Milwaukee Brewers	NL	161	5582	815	1524	299	30	165	777	658	1065	81	33	0.273	0.353	0.426	0.779
Cincinnati Reds	NL	163	5649	865	1536	312	37	209	820	569	1125	164	54	0.272	0.341	0.451	0.792
San Francisco Giants	NL	162	5563	872	1507	307	18	188	828	696	1028	109	56	0.271	0.356	0.434	0.79
Seattle Mariners	AL	162	5573	859	1499	263	21	244	825	610	1095	130	45	0.269	0.343	0.455	0.798
Houston Astros	NL	162	5485	823	1463	293	23	168	784	728	1138	166	75	0.267	0.355	0.42	0.775
Atlanta Braves	NL	162	5569	840	1481	309	23	197	791	608	962	148	66	0.266	0.341	0.436	0.777
Los Angeles Dodgers	NL	162	5567	793	1480	253	23	187	761	594	1030	167	68	0.266	0.339	0.42	0.76
Montreal Expos	NL	162	5559	718	1473	320	47	163	680	438	939	70	51	0.265	0.323	0.427	0.751
Minnesota Twins	AL	161	5495	686	1450	285	30	105	643	500	978	118	60	0.264	0.328	0.384	0.712
Florida Marlins	NL	162	5578	691	1465	266	44	128	655	479	1145	92	46	0.263	0.325	0.395	0.719
St. Louis Cardinals	NL	161	5570	809	1461	274	27	194	763	613	1202	134	48	0.262	0.338	0.426	0.764
Detroit Tigers	AL	161	5481	747	1433	289	34	212	704	458	1049	108	70	0.261	0.326	0.443	0.768
Pittsburgh Pirates	NL	161	5468	775	1417	282	40	171	735	573	1197	112	44	0.259	0.334	0.419	0.753
Oakland Athletics	AL	162	5519	893	1430	287	20	235	845	770	1129	70	37	0.259	0.355	0.446	0.801
Chicago Cubs	NL	162	5482	747	1411	255	35	189	717	571	1170	60	44	0.257	0.329	0.42	0.749
Anaheim Angels	AL	162	5494	711	1404	248	22	158	673	511	1022	71	45	0.256	0.322	0.395	0.716
San Diego Padres	NL	162	5394	710	1360	256	22	153	671	631	1169	174	67	0.252	0.332	0.393	0.725
1998
30
Colorado Rockies	NL	162	5632	826	1640	333	36	183	791	469	949	67	47	0.291	0.347	0.461	0.808
Texas Rangers	AL	162	5672	940	1637	314	32	201	894	595	1045	82	47	0.289	0.357	0.462	0.819
New York Yankees	AL	162	5643	965	1625	290	31	207	907	653	1025	153	63	0.288	0.364	0.46	0.825
Boston Red Sox	AL	162	5601	876	1568	338	35	205	827	541	1049	72	39	0.28	0.348	0.463	0.81
Houston Astros	NL	162	5641	874	1578	326	28	166	818	621	1122	155	51	0.28	0.356	0.436	0.792
Seattle Mariners	AL	161	5628	859	1553	321	28	234	822	558	1081	115	39	0.276	0.345	0.468	0.812
San Francisco Giants	NL	163	5628	845	1540	292	26	161	800	678	1040	102	51	0.274	0.353	0.421	0.774
Baltimore Orioles	AL	162	5565	817	1520	303	11	214	783	593	903	86	48	0.273	0.347	0.447	0.794
Cleveland Indians	AL	162	5616	850	1530	334	30	198	811	630	1061	143	59	0.272	0.347	0.448	0.795
Anaheim Angels	AL	162	5630	787	1530	314	27	147	739	510	1028	93	45	0.272	0.335	0.415	0.751
Atlanta Braves	NL	162	5484	826	1489	297	26	215	794	548	1062	98	43	0.272	0.342	0.453	0.795
Chicago White Sox	AL	163	5585	861	1516	291	38	198	806	551	916	127	46	0.271	0.339	0.444	0.782
Minnesota Twins	AL	162	5641	734	1499	285	32	115	691	506	915	112	54	0.266	0.328	0.389	0.717
Toronto Blue Jays	AL	163	5580	816	1482	316	19	221	776	564	1132	184	81	0.266	0.34	0.448	0.787
Chicago Cubs	NL	163	5649	831	1494	250	34	212	788	601	1223	65	44	0.264	0.337	0.433	0.771
Philadelphia Phillies	NL	162	5617	713	1482	286	36	126	672	508	1080	97	45	0.264	0.326	0.395	0.721
Detroit Tigers	AL	162	5664	722	1494	306	29	165	691	455	1070	122	62	0.264	0.323	0.415	0.738
Kansas City Royals	AL	161	5546	714	1459	274	40	134	686	475	984	135	50	0.263	0.324	0.399	0.724
Cincinnati Reds	NL	162	5496	750	1441	298	28	138	723	608	1107	95	42	0.262	0.337	0.402	0.739
Tampa Bay Devil Rays	AL	162	5555	620	1450	267	43	111	579	473	1107	120	73	0.261	0.321	0.385	0.706
Milwaukee Brewers	NL	162	5541	707	1439	266	17	152	673	532	1039	81	59	0.26	0.33	0.396	0.726
New York Mets	NL	162	5510	706	1425	289	24	136	671	572	1049	62	46	0.259	0.33	0.394	0.724
St. Louis Cardinals	NL	163	5593	810	1444	292	30	223	781	676	1179	133	41	0.258	0.341	0.441	0.781
Oakland Athletics	AL	162	5490	804	1413	295	13	149	755	633	1122	131	47	0.257	0.338	0.397	0.735
Pittsburgh Pirates	NL	163	5493	650	1395	271	35	107	613	393	1060	159	51	0.254	0.311	0.374	0.686
San Diego Padres	NL	162	5490	749	1390	292	30	167	715	604	1072	79	37	0.253	0.33	0.409	0.739
Los Angeles Dodgers	NL	162	5459	669	1374	209	27	159	630	447	1056	135	52	0.252	0.31	0.387	0.698
Montreal Expos	NL	162	5418	644	1348	280	32	147	602	439	1058	91	46	0.249	0.31	0.394	0.704
Florida Marlins	NL	162	5558	667	1381	277	36	114	621	525	1120	115	57	0.248	0.317	0.373	0.69
Arizona Diamondbacks	NL	162	5491	665	1353	235	46	159	621	489	1239	73	38	0.246	0.314	0.393	0.707
1997
28
Boston Red Sox	AL	162	5781	851	1684	373	32	185	810	514	1044	68	48	0.291	0.352	0.463	0.815
Colorado Rockies	NL	162	5603	923	1611	269	40	239	869	562	1060	137	65	0.288	0.357	0.478	0.835
New York Yankees	AL	162	5710	891	1636	325	23	161	846	676	954	99	58	0.287	0.362	0.436	0.798
Cleveland Indians	AL	161	5556	868	1589	301	22	220	810	617	955	118	59	0.286	0.358	0.467	0.825
